,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,88.6226925452758,,124.80737368863856,,,3,0,0,0,0,64,1,400.0,9,85.89999345687004,96.34015521724666,99579.8621401081,99979.8621401081,9,0.0,0.0,119,4.51351666838205,41429.5,1,,,,94,90
1,-210.02594423685514,113.3665292160949,-737.9148693064999,144.7608970528886,6,1,0,0,0,0,0,88,1,600.0,9,80.38607766386593,98.13009496600023,99369.83619587125,99969.83619587125,9,0.0,0.0,119,5.292567428401227,41429.75,1,5.539787407249741,102.25094185891912,102.18657702122762,100,91
2,-267.5587689890235,151.15537228812653,-941.2451488553473,195.53636665492286,0,2,0,0,0,0,0,88,1,800.0,8,79.96683763675266,108.43495438652964,99102.27742688222,99902.27742688222,8,0.0,0.0,119,5.292567428401227,41430.0,1,33.22778588364272,33.44796519903957,7.769560676887403,100,93
3,-250.14954344576108,177.24538509055162,-878.6644690374321,240.50903607304326,-1,1,0,0,0,0,0,100,1,1000.0,11,80.47211716486453,115.34619064878996,98852.12788343646,99852.12788343646,11,0.0,0.0,119,5.641895835477563,41430.25,1,21.188667923663736,23.669054891056845,9.36408667723281,99,94
4,-115.78894745830621,184.60306929052533,-404.97227298181593,238.2193092675875,-2,0,0,0,0,0,0,59,1,800.0,9,82.0751397049739,120.96378266966298,98736.33893597816,99536.33893597816,9,0.0,0.0,119,4.3336224206596095,41430.5,1,14.348173041137642,33.61188983605533,29.70799562617263,97,94
5,-292.1073586830462,202.56615438920184,-1019.8469320587581,273.54496969765387,-1,0,0,0,0,0,0,49,1,800.0,13,82.83794919323955,124.69518851900015,98444.23157729511,99244.23157729511,13,0.0,0.0,119,3.949327084834294,41430.75,1,8.62013022175849,16.793544579187426,14.13675751524548,96,94
6,-50.30163928138791,179.75962960832888,-175.04762174717058,244.73188314043136,-1,-2,0,0,3,0,0,35,1,600.0,8,84.5282553693523,114.44397837590896,98393.92993801372,98993.92993801372,8,0.0,0.0,119,3.3377905890622728,41431.0,1,18.091623165910597,37.54077084229895,31.325578543283267,95,92
7,30.04910525075684,177.05230333012295,104.5172112343016,228.59586008226552,0,-1,0,0,2,0,0,165,0,1283.1239660778228,8,84.83699087051313,105.25512193013594,98423.97904326448,99707.1030093423,9,0.0,0.0,119,7.247146419131151,41431.25,2,15.308258045493867,16.76463731269275,5.721636900691872,95,91
8,243.94574010679207,144.45233068191305,848.2827667684581,216.7059190769396,0,-1,0,0,0,0,0,158,0,1024.4202637698327,7,84.99847940444111,95.19440754788002,98667.92478337127,99692.3450471411,8,0.0,0.0,119,7.091753098990329,41431.5,2,16.234406687308017,16.76306148816125,2.9927842806765073,95,90
9,141.37482123721566,109.227986479099,493.21562352580804,151.9634728397741,2,0,0,0,0,0,0,160,0,779.5051393446774,9,83.19082721378257,93.81405667686892,98809.29960460849,99588.80474395317,10,0.0,0.0,119,7.136496464611085,41431.75,2,3.032925940819433,33.60111121128992,33.50029212319216,97,90
10,-619.8919082597131,204.6653415892977,-2189.043824855994,345.25465301069016,3,6,0,0,1,0,0,192,1,1600.0,11,78.80198582135522,121.75946024599602,98189.40769634878,99789.40769634878,11,0.0,0.0,119,7.817640190446719,41432.0,1,99.61851936912745,112.59868451129475,81.33614944759368,100,96
11,-8.60957046202384,209.01116258289392,-30.403247410449715,351.52181856943935,0,0,0,0,0,0,0,233,1,1800.0,8,78.80198582135522,121.75946024599602,98180.79812588675,99980.79812588675,8,0.0,0.0,119,8.611980229936854,41432.25,1,0.0,0.0,0.0,100,96
12,-80.9836245712504,225.55707568178417,-285.2539784379958,373.3763346516462,-1,0,0,0,0,0,0,247,1,2000.0,12,79.56426551354278,124.3803275988264,98099.8145013155,100099.8145013155,12,0.0,0.0,119,8.866935315394846,41432.5,1,8.797081968967008,16.809067297300338,14.126939075905385,99,96
13,-100.48448649208876,233.03363064599097,-353.9431544947556,383.59048957841014,0,0,0,0,0,0,0,280,1,2200.0,11,79.56426551354278,124.3803275988264,97999.33001482341,100199.33001482341,11,0.0,0.0,119,9.440697438826296,41432.75,1,0.0,0.0,0.0,99,96
14,92.596843082938,233.46250237262507,324.9226161051045,339.1423985710162,-1,-1,0,0,0,0,0,83,1,1200.0,11,80.82426955835734,122.9052207857643,98091.92685790635,99291.92685790635,11,0.0,0.0,119,5.140011726956917,41433.0,1,4.359187374003173,23.808741394308257,23.351009555834022,98,95
15,49.30805380165111,223.64584052645574,173.02211720040623,323.0795037100547,0,0,0,0,3,0,0,304,1,2200.0,8,80.82426955835734,122.9052207857643,98141.234911708,100341.234911708,8,0.0,0.0,119,9.83698151873187,41433.25,1,0.0,0.0,0.0,98,95
16,28.546127339141094,216.5172616021702,99.84018619327239,318.7555854648149,-1,-1,0,0,0,0,0,386,1,2400.0,12,82.0751397049739,120.96378266966298,98169.78103904714,100569.78103904714,12,0.0,0.0,119,11.084566571000565,41433.5,1,4.960440466014789,23.787685413775883,23.181735699149314,97,94
17,52.59374079570989,209.33067785167168,183.946803405606,281.09733093692466,0,0,0,0,0,0,0,347,1,2200.0,13,82.0751397049739,120.96378266966298,98222.37477984285,100422.37477984285,13,0.0,0.0,119,10.509687459947386,41433.75,1,0.0,0.0,0.0,97,94
18,235.4895025187725,183.5878644291755,823.2103551809903,237.77474508857722,-1,1,0,0,0,0,0,302,1,1800.0,16,82.2854346472019,130.23634787678515,98457.86428236162,100257.86428236162,16,0.0,0.0,119,9.804569629897316,41434.0,1,23.04325873846033,23.676270874025533,3.897288445794141,96,95
19,185.29828426075983,166.53131830534699,645.9645181557097,141.39508969213784,-1,-1,0,0,0,0,1,290,2,1600.0,13,83.56292354435637,129.2894538713167,98643.16256662238,100243.16256662238,13,0.0,0.0,119,9.607802401865856,41434.25,1,1.967352767423993,23.772727988013713,23.675047368054607,95,94
