,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,7,61.44316521130551,-58.09189420946541,,,7,0.0,0.0,318.0,0.0,41290.0,0,,,,63,73
1,,0.0,,275.54475245884487,1,4,3,0,0,0,3,1,1,0.0,10,64.06836976682058,-63.88608964480753,98820.0498677608,98820.0498677608,10,0.0,0.0,327.0,0.5641895835477563,41290.25,1,46.9412838974186,69.11281926475093,48.651571329576505,64,77
2,-1057.452803632259,,,,-1,-7,0,3,3,0,0,0,0,,9,59.86679548499935,-53.652543209369064,,,9,0.0,0.0,318.0,0.0,41290.5,0,95.11341839079279,118.1093985634864,77.86562400979594,63,70
