,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,177.2453850905516,,447.0185734183524,,,3,0,0,0,0,4,1,200.0,2,56.294708957014336,-19.916404297354433,101823.75275854948,102023.75275854948,2,0.0,0.0,220,1.1283791670955126,40947.25,1,,,,77,55
1,346.8442462982348,0.0,1430.1192560492264,258.18962200746364,3,0,0,0,0,0,0,1,1,0.0,3,57.155151619815555,-15.395547575348784,102170.59700484772,102170.59700484772,3,0.0,0.0,220,0.5641895835477563,40947.5,1,45.432578368187805,48.644299782608094,15.946143128671826,80,55
2,0.0,,,,0,0,0,3,0,0,0,0,0,,3,57.155151619815555,-15.395547575348784,,,3,0.0,0.0,220,0.0,40947.75,0,0.0,0.0,0.0,80,55
