,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,3,58.55328135373108,-53.29714083245821,,,3,0.0,0.0,45.0,0.0,41004.5,0,,,,62,69
1,,144.72025091165352,,179.30405223115986,7,-2,3,0,0,0,3,6,1,200.0,6,62.1698810382065,-42.33700163451758,100080.41909721858,100280.41909721858,6,0.0,0.0,117.0,1.381976597885342,41004.75,1,94.7131429271929,120.5169870267562,67.02458943632955,69,67
2,-146.88003898441093,98.31804988974528,-579.1161105756545,219.688596127467,0,-1,0,0,0,0,0,13,1,200.0,4,61.47310486470843,-41.099506688818394,99933.53905823416,100133.53905823416,4,0.0,0.0,117.0,2.0342144725641096,41005.0,1,10.952387419933538,16.85261383174805,12.91299591663212,69,66
3,-423.9676177846559,,,,1,0,0,3,3,0,0,0,0,,7,62.07809187840007,-39.68545253913851,,,7,0.0,0.0,45.0,0.0,41005.25,0,12.27115280084694,16.71175772685881,11.21191443472541,70,66
