,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,5,66.85901229987971,-32.12500098493814,,,5,0.0,0.0,390.0,0.0,40935.25,0,,,,76,68
1,,0.0,,333.78018766542573,8,3,3,0,0,0,3,1,1,0.0,6,72.45815583395343,-16.55707905505517,100083.45088073664,100083.45088073664,6,0.0,0.0,503.0,0.5641895835477563,40935.5,1,86.71510593739681,143.48971732535037,103.76605909061375,84,71
2,0.0,,,,0,0,0,3,0,0,0,0,0,,6,72.45815583395343,-16.55707905505517,,,6,0.0,0.0,503.0,0.0,40935.75,0,0.0,0.0,0.0,84,71
