,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,162.6515203828769,,302.7803703145405,,,3,0,0,0,0,19,1,400.0,8,56.089022937605684,-61.69924269512289,99492.73268712178,99892.73268712178,8,0.0,0.0,105,2.4592453796829674,40912.25,1,,,,57,72
1,-26.297072649758775,177.2453850905516,-108.71972165961337,342.03755171361945,1,0,0,0,0,0,0,16,1,400.0,9,56.91851978115316,-60.94539311544867,99466.43561447202,99866.43561447202,9,0.0,0.0,105,2.256758334191025,40912.5,1,7.625609142153432,17.197565210200707,15.372640111692386,58,72
2,-80.79551568337774,112.09982432795857,-329.3216976443687,329.8829595799875,1,1,0,0,0,0,0,10,1,200.0,9,58.19860406776277,-61.58733673233303,99385.64009878864,99585.64009878864,9,0.0,0.0,105,1.7841241161527712,40912.75,1,6.26931680723335,24.566270902344105,23.723146391401404,59,73
3,-1678.4032778256078,,,,1,-6,0,3,3,0,0,0,0,,7,55.90994779553944,-52.66680558388687,,,7,0.0,0.0,104,0.0,40913.0,0,92.59664178903859,99.30869671416903,42.414494384080456,60,67
