,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,-465.13329269131646,329.66971992024924,-1823.5551679677924,787.7307287700742,-1,1,2,0,0,0,2,74,1,1600.0,4,62.07809187840007,-39.68545253913851,97910.59723263764,99510.59723263764,4,0.0,0.0,406.0,4.853342309955121,40930.0,1,22.812680892346243,23.043479600507894,2.8237012896795664,70,66
1,414.5265136112721,204.6653415892977,1600.7256689488015,657.2025513784124,3,0,0,0,0,0,3,3,1,200.0,4,63.775483333728175,-35.07375297644401,98325.12374624891,98525.12374624891,4,0.0,0.0,406.0,0.9772050238058398,40930.25,1,37.75846196641808,50.005728247191776,31.45688639371823,73,66
2,807.6574086284236,,,,4,-1,0,2,2,0,0,0,0,,4,64.89861127670083,-27.030859467757523,,,3,0.0,0.0,315.0,0.0,40930.5,0,63.189662541330804,67.77012572397707,20.814354871883243,77,65
