,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,0.0,,483.7690973721715,-7,1,3,0,0,0,3,1,1,0.0,3,60.85026891271329,-42.45519150116821,96786.69349624291,96786.69349624291,3,0.0,0.0,470.0,0.5641895835477563,40906.5,1,106.70446973089847,116.89322502881743,58.42830206922148,68,66
1,-480.6259153586725,177.2453850905516,-1921.7640149811718,492.38414386841487,1,-2,0,0,0,0,0,4,1,200.0,1,60.03821715536195,-38.79655456770007,96306.06758088424,96506.06758088424,1,0.0,0.0,470.0,1.1283791670955126,40906.75,1,33.85832923143715,36.668852156642345,15.049339265044654,69,64
2,-273.3571308100654,,,,2,-1,0,2,2,0,0,0,0,,1,60.41271989034174,-34.91939826980064,,,2,0.0,0.0,2.0,0.0,40907.0,0,35.47238869735381,36.3445902186383,6.940467357377467,71,63
