,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,2,68.40015334174375,-18.43495002087377,,,2,0.0,0.0,324.0,0.0,40622.0,0,,,,82,67
1,,0.0,,241.79532373918846,-3,2,3,0,0,0,3,1,1,0.0,4,69.03070511695338,-27.12130237348461,100512.98490494871,100512.98490494871,4,0.0,0.0,371.0,0.5641895835477563,40622.25,1,57.56131606062776,59.53901249428946,11.685693065005509,79,69
2,-1022.6761727921403,,,,8,-1,0,3,3,0,0,0,0,,5,70.30712332766915,-6.632508236928402,,,5,0.0,0.0,324.0,0.0,40622.5,0,127.34907593032506,133.36195292883536,23.655204884719424,87,68
