,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,8,68.5952962602831,-60.70863555204423,,,7,0.0,0.0,144.0,0.0,40580.0,0,,,,69,78
1,,0.0,,194.93017474997941,-3,3,3,0,0,0,3,1,1,0.0,9,67.22577343387427,-70.11483152872054,98597.84701400956,98597.84701400956,9,0.0,0.0,147.0,0.5641895835477563,40580.25,1,67.41507424873144,70.20875882413343,25.380665036763244,66,81
2,167.34727526632196,,,,0,-3,0,3,3,0,0,0,0,,8,66.14147259139138,-63.924641965548645,,,8,0.0,0.0,104.0,0.0,40580.5,0,46.38287915767474,49.62706239781233,20.09479210675289,66,78
