,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,7,71.08608572290498,9.68879229216384,,,7,0.0,0.0,279.0,0.0,41347.75,0,,,,93,69
1,,0.0,,132.39091081456172,0,-6,3,0,0,0,3,1,1,0.0,8,65.6163867286931,7.523825124088603,100324.3415615042,100324.3415615042,8,0.0,0.0,318.0,0.5641895835477563,41348.0,1,16.5634016602583,102.42571152071045,101.36712973820141,93,63
2,-223.18952246905246,,,,-1,6,0,3,3,0,0,0,0,,8,71.2189348825216,6.952959048954455,,,8,0.0,0.0,279.0,0.0,41348.25,0,3.4061094380056907,103.90088568466176,103.82915516459468,92,69
