,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,9,56.24318441246266,-56.09371909673495,,,9,0.0,0.0,291.0,0.0,40254.25,0,,,,59,69
1,,0.0,,102.97483643561964,4,0,3,0,0,0,3,1,1,0.0,9,59.301655791665596,-52.27500421073154,99122.15757604422,99122.15757604422,9,0.0,0.0,404.0,0.5641895835477563,40254.5,1,36.12456557230695,68.07225165733544,56.6810834424921,63,69
2,-664.8000102515362,,,,2,-5,0,3,3,0,0,0,0,,9,57.552939015822936,-43.85423526342822,,,9,0.0,0.0,291.0,0.0,40254.75,0,83.67446052420802,87.82509904388981,32.40807226865582,65,64
