,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,10,61.98658212408006,-63.85315672978723,,,10,0.0,0.0,291.0,0.0,40251.75,0,,,,62,76
1,,0.0,,111.3604567326447,-1,-4,3,0,0,0,3,1,1,0.0,8,59.35774695574182,-58.44861219286138,99520.54831533885,99520.54831533885,8,0.0,0.0,336.0,0.5641895835477563,40252.0,1,51.034964809272836,69.09777718851672,48.7188556173344,61,72
2,-279.52682433711016,,,,-1,-1,0,3,3,0,0,0,0,,5,58.06312741685862,-57.907412018901674,,,5,0.0,0.0,291.0,0.0,40252.25,0,5.305587714901873,24.55127572715371,23.992520776454786,60,71
