,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,7,64.53019249757233,-36.25383808367363,,,7,0.0,0.0,6.0,0.0,40238.25,0,,,,73,67
1,,150.39769647786002,,262.9953283331065,-8,3,3,0,0,0,3,50,2,600.0,9,61.35351803303294,-51.48307157730442,100665.31929322377,101265.31929322377,9,0.0,0.0,75.0,3.989422804014327,40238.5,1,134.99781095463277,140.78235751378293,58.87168067635019,65,70
2,-463.4297529637115,,,,12,-3,0,3,3,0,0,0,0,,9,66.53355911549863,-29.05460155558498,,,9,0.0,0.0,6.0,0.0,40238.75,0,164.62895875270524,204.70113801665173,95.99904803009557,77,67
