,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,336.2994729838757,,417.2728455987053,,,3,0,0,0,0,10,1,600.0,6,69.03070511695338,-27.12130237348461,101259.63861856876,101859.63861856876,6,0.0,0.0,246,1.7841241161527712,40246.75,1,,,,79,69
1,125.33063192099507,289.44050182330705,464.95063531570503,337.611274246216,0,0,0,0,0,0,0,6,1,400.0,6,69.03070511695338,-27.12130237348461,101384.96925048975,101784.96925048975,6,0.0,0.0,246,1.381976597885342,40247.0,1,0.0,0.0,0.0,79,69
2,0.0,,,,0,0,0,3,0,0,0,0,0,,6,69.03070511695338,-27.12130237348461,,,6,0.0,0.0,246,0.0,40247.25,0,0.0,0.0,0.0,79,69
