,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,5,69.2718807322313,-19.230674960726986,,,5,0.0,0.0,358.0,0.0,40564.25,0,,,,82,68
1,,0.0,,131.54247022272375,-4,-1,3,0,0,0,3,1,1,0.0,7,66.96845954597578,-27.072084354594864,101389.47582161704,101389.47582161704,7,0.0,0.0,364.0,0.5641895835477563,40564.5,1,56.817415693210464,68.87241690774735,42.688124972867286,78,67
2,0.0,,,,0,0,0,3,0,0,0,0,0,,7,66.96845954597578,-27.072084354594864,,,7,0.0,0.0,364.0,0.0,40564.75,0,0.0,0.0,0.0,78,67
