,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,5,73.78865758043233,-11.309928194320747,,,5,0.0,0.0,303.0,0.0,40561.0,0,,,,86,72
1,,0.0,,228.87169910161538,-3,-4,3,0,0,0,3,1,1,0.0,7,69.55668508606854,-16.821408405371216,99393.0537583371,99393.0537583371,7,0.0,0.0,311.0,0.5641895835477563,40561.25,1,35.66393834472534,84.66792829055343,78.4289785120954,83,68
2,0.0,,,,0,0,0,3,0,0,0,0,0,,7,69.55668508606854,-16.821408405371216,,,7,0.0,0.0,311.0,0.0,40561.5,0,0.0,0.0,0.0,83,68
