,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,3,55.3776091130984,-5.3321574507320975,,,2,0.0,0.0,491.0,0.0,40232.0,0,,,,86,52
1,,0.0,,147.0717423222327,0,-3,3,0,0,0,3,1,1,0.0,4,52.532811160134884,-4.939214223170836,98687.53979276608,98687.53979276608,4,0.0,0.0,497.0,0.5641895835477563,40232.25,1,4.429817270626227,52.894792336973865,52.72118328306143,86,49
2,-113.73457234521629,,,,0,2,0,3,3,0,0,0,0,,4,54.43207713966207,-5.194427294013565,,,4,0.0,0.0,491.0,0.0,40232.5,0,2.7511313033653932,35.31040510367486,35.19812354533853,86,51
