,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,267.20747189427857,,449.3589115016139,,,3,0,0,0,0,176,4,2000.0,8,72.17557881118213,-19.358992617274282,98368.0306479939,100368.0306479939,8,0.0,0.0,511,7.48482063701911,40202.0,1,,,,83,71
1,1027.6225598795427,0.0,3736.3383206355215,146.06971428909947,-2,1,0,0,0,0,2,1,1,0.0,9,72.31631735472001,-25.906511323230973,99395.65320787345,99395.65320787345,9,0.0,0.0,511,0.5641895835477563,40202.25,1,36.84079454315245,37.07427721413957,2.608235337459305,81,72
2,-1842.147054287634,377.4716309377602,-6611.24400734142,909.7238016534816,6,1,0,0,2,0,0,127,2,2400.0,11,74.84717582474727,-8.615639202565092,97553.50615358581,99953.50615358581,11,0.0,0.0,511,6.358093703724522,40202.5,1,83.46600892910959,101.48369588651512,46.903103653740224,87,73
3,-345.3523214872257,357.6796569243379,-1228.6222999880656,579.062272541179,3,2,0,0,0,0,0,166,2,2600.0,9,76.8357421493487,1.9749240502586076,97208.15383209859,99808.15383209859,9,0.0,0.0,511,7.269074295019226,40202.75,1,44.63877866427691,60.37968073386255,36.85308109864946,90,75
4,62.98294236634683,288.10973384641386,226.03819832419904,398.36101201905103,2,-2,0,0,0,0,0,218,2,2400.0,6,74.84717535974829,8.615650739314361,97271.13677446493,99671.13677446493,6,0.0,0.0,511,8.33015937350939,40203.0,1,32.15283717585356,47.529345168604415,36.85308971623733,92,73
5,223.66855093867343,231.2442810274697,804.1756410216631,316.73449139675677,2,0,0,0,0,0,0,235,2,2000.0,6,74.46869139884546,15.255131530622464,97494.8053254036,99494.8053254036,6,0.0,0.0,511,8.6488625410045,40203.25,1,32.93031398966627,33.28380919078986,7.014249378121994,94,73
6,377.92495925573166,155.12337953564614,1366.5786242525571,259.4531313698576,1,-1,0,0,0,0,2,47,1,600.0,8,73.33369470306026,17.447173936016043,97872.73028465934,98472.73028465934,8,0.0,0.0,511,3.8678889139475245,40203.5,1,11.650196696897964,23.85729516628955,21.034312388275413,95,72
7,200.6865881740814,198.16636488030053,729.1041979167647,331.46922389037127,0,-1,0,0,0,0,0,80,1,1000.0,8,72.45815753987118,16.55706045974199,98073.41687283342,99073.41687283342,8,0.0,0.0,511,5.046265044040321,40203.75,1,4.971890524826792,16.935229794512182,16.225881772565764,95,71
8,223.80323590393527,192.96033454887137,813.0881106183922,333.020588784314,0,0,0,0,0,0,3,54,1,800.0,10,72.45815753987118,16.55706045974199,98297.22010873735,99097.22010873735,10,0.0,0.0,511,4.145929793656026,40204.0,1,0.0,0.0,0.0,95,71
9,24.9866071134893,170.29185771013047,91.2314701561739,256.16036530860174,0,-1,0,0,3,0,0,39,1,600.0,4,71.57771423063228,15.751161915522545,98322.20671585084,98922.20671585084,4,0.0,0.0,511,3.523362819972964,40204.25,1,4.719791481053774,16.955385549803225,16.316804864251985,95,70
10,-34.7411942275794,185.1267669931693,-127.35028070390692,311.2474601550325,-1,-1,0,0,0,0,0,33,1,600.0,5,70.91033929338302,12.380766653668644,98287.46552162326,98887.46552162326,5,0.0,0.0,511,3.2410224072142872,40204.5,1,20.425340279988415,23.58186105392462,12.368117865308033,94,69
11,-125.34359249741829,179.75962960832888,-462.0336881689735,325.86523169418206,0,-1,0,0,0,0,0,35,1,600.0,5,70.01207501305923,11.821499485000771,98162.12192912585,98762.12192912585,5,0.0,0.0,511,3.3377905890622728,40204.75,1,3.542840972146092,17.003960845566912,16.64707179300511,94,68
12,-170.75163185290876,177.2453850905516,-632.4384727103338,362.8001935955476,-1,-1,0,0,0,0,0,36,1,600.0,8,69.2718791420159,8.841820540110405,97991.37029727294,98591.37029727294,8,0.0,0.0,511,3.385137501286538,40205.0,1,19.542610080241094,23.601455583829797,13.717670930544774,93,67
13,-299.8926137646631,246.8356893242257,-1117.619623261606,405.70669031315583,0,-1,0,0,0,0,0,33,1,800.0,4,68.36132384977637,8.471149794003509,97691.47768350827,98491.47768350827,4,0.0,0.0,511,3.2410224072142872,40205.25,1,2.533120637818187,17.056372172534836,16.874854821064876,93,66
14,-119.08183750118769,273.4955668479313,-446.6656619313326,430.10588097903155,0,-1,0,0,0,0,0,42,1,1000.0,5,67.44854356856636,8.130108431173966,97572.39584600709,98572.39584600709,5,0.0,0.0,511,3.656366395715726,40205.5,1,2.4239313734569676,17.082260529723275,16.91608940195777,93,65
15,81.3072678460303,284.22493045528034,305.3066842810129,601.9073006807498,1,0,0,0,0,0,0,56,1,1200.0,4,67.29980190777908,10.407721137016324,97653.70311385312,98853.70311385312,4,0.0,0.0,511,4.222008245644752,40205.75,1,16.288250135011904,16.469929126481052,2.7565530100386137,94,65
16,86.78861653081549,275.71504347419136,325.5365861351833,496.660239062192,-1,0,0,0,0,0,1,81,2,1400.0,8,67.44854356856636,8.130108431173966,97740.49173038393,99140.49173038393,8,0.0,0.0,511,5.077706251929807,40206.0,1,16.187109277520204,16.469929126481052,2.7565530100386137,93,65
17,142.2731925718981,261.8087846400239,545.1502781891203,447.83980139511505,0,-3,0,0,1,0,0,66,1,1200.0,6,64.69703489507083,7.253200021377836,97882.76492295583,99082.76492295583,6,0.0,0.0,511,4.583497844237541,40206.25,1,6.945823377292139,51.41518693026903,50.992300851867185,93,62
18,31.15729371784255,274.58736985913066,120.21588000639822,518.4384071148038,-1,-1,0,0,0,0,0,60,1,1200.0,4,63.87277370832758,5.013115356528772,97913.92221667367,99113.92221667367,4,0.0,0.0,511,4.370193722368317,40206.5,1,18.280559885892057,23.615636185999232,15.27561036597889,92,61
19,153.3597921821929,257.9299215464548,601.5870674695949,510.6353626135001,0,-2,0,0,0,0,0,68,1,1200.0,4,62.01705601886844,4.685901599069979,98067.28200885587,99267.28200885587,4,0.0,0.0,511,4.652426491681278,40206.75,1,2.845318422739535,34.50137508470505,34.39106539206986,92,59
20,234.80345687291992,209.57408081907045,937.7714426303262,523.5723555889203,0,-2,0,0,0,0,0,103,1,1200.0,3,60.15299364687987,4.3987065535042404,98302.08546572879,99502.08546572879,3,0.0,0.0,511,5.725898905580716,40207.0,1,2.648899646625579,34.641343005457934,34.54571311902522,92,57
21,343.58248551336874,158.53309190424042,1385.3796737158768,347.2354319533574,0,-1,0,0,0,0,0,45,1,600.0,4,59.2176980579894,4.267894893235366,98645.66795124215,99245.66795124215,4,0.0,0.0,511,3.7846987830302403,40207.25,1,1.2406843761579214,17.376482463983486,17.333354066275746,92,56
22,351.3042264796095,137.29368492956533,1448.5088258517335,279.27958293890015,2,-2,0,0,0,0,0,60,1,600.0,5,57.15514933408345,7.224321846754919,98996.97217772176,99596.97217772176,5,0.0,0.0,511,4.370193722368317,40207.5,1,29.713878832241768,47.89971782055337,38.22415900925835,94,54
23,325.1536110182933,91.52912328637689,1345.0809164060006,287.75523251742516,2,0,0,0,0,0,0,15,1,200.0,3,56.86613871234056,10.375840412725097,99322.12578874006,99522.12578874006,3,0.0,0.0,511,2.1850968611841584,40207.75,1,31.921434597617495,32.24565044812471,5.356085814033228,96,54
24,299.35956874086696,97.6393867905738,1228.1241994731492,242.47250109281913,1,1,0,0,2,0,1,224,0,824.4685922589997,3,57.60630492633023,12.26477221423491,99621.48535748092,100445.95394973992,5,0.0,0.0,1,8.444016491289505,40208.0,2,18.75361904044648,23.388013917848493,13.717121311560263,97,55
25,222.67942735437828,104.53362518871587,923.0969296523868,161.07507383626262,0,-1,0,0,1,0,2,46,1,400.0,2,56.68337967075297,11.929320169544496,99844.1647848353,100244.1647848353,2,0.0,0.0,1,3.826519928662906,40208.25,1,3.414647305361204,17.433397121469646,17.104101015387293,97,54
26,-416.9308887668449,168.14973649193786,-1608.6671117476826,305.65531896105676,-5,7,0,0,3,0,0,40,1,600.0,4,63.87277370832758,5.013115356528772,99427.23389606846,100027.23389606846,4,0.0,0.0,1,3.5682482323055424,40208.5,1,56.4160378719783,147.42018788192996,133.23735710448946,92,61
27,413.45327395855566,158.53309190424042,1524.045523559915,352.6939469768495,2,7,0,0,0,0,0,5,1,200.0,6,70.01207501305923,11.821499485000771,99840.68717002701,100040.68717002701,6,0.0,0.0,1,1.2615662610100802,40208.75,1,43.10743541808331,123.86987786058965,113.7765263714135,94,68
28,152.2845839796646,144.72025091165352,560.745955481715,325.0453220452923,-1,0,0,0,0,0,0,6,1,200.0,7,70.18015770275879,9.246119674536148,99992.97175400668,100192.97175400668,7,0.0,0.0,1,1.381976597885342,40209.0,1,16.181694516564015,16.543307012279044,3.114990391893707,93,68
