,ERA5WindSpd,ERA5WindU,ERA5WindV,ERA5WindUSW,ERA5WindVSW,ERA5WindDeg,ERA5PitSpd,ERA5PitU,ERA5PitV,ERA5PitDeg,ERA5PitEvents,ERA5BarSpd,ERA5BarU,ERA5BarV,ERA5BarDeg,ERA5BarEvents,ERA5Stress,ERA5StressU,ERA5StressV,ERA5StressDeg,ERA5StressUSW,ERA5StressVSW,Tempshelf290m,Tempmid125m,Tempmid250m,Tempmid350m,Tempmid400m,Tempmid550m,Tempmid650m,SSH
2010-01-01 00:00:00,10.437755870690500,9.519211860086740,4.042566431983390,-0.907951250067357,-10.398190811080300,246.99030690642500,6.607423675211250,6.4357237947776100,1.496498199489550,256.90964202651300,FALSE,11.217823324491,10.824816947478600,2.2061806003589300,258.4804500427980,FALSE,0.2557709086748240,0.23391821758182200,0.09784255501832530,247.30157495529000,-0.02363270968934880,-0.25467676132125700,3.4508041666666700,2.6651583333333300,,,,4.29675,4.376552173913040,-0.04551781388402600
2010-01-01 06:00:00,10.698889620828200,10.077806342702100,3.4962476711835800,-1.6491480469355800,-10.571024067608300,250.8670373999280,5.9323760578228500,5.800708430832760,-1.2429269455183300,282.0939826512100,FALSE,11.473011267209900,11.161964459220200,2.0785656603080500,259.4512851791770,FALSE,0.26870791560314800,0.24773808134850600,0.0986656572653727,248.28428849253700,-0.029413237456794900,-0.26709325219873900,4.115891666666670,2.6504208333333300,,,,4.308595833333330,4.384666666666670,-0.032093528458878400
2010-01-01 12:00:00,7.794160641692440,7.246890017081700,2.7399166106537400,-0.9889197229746150,-7.73116924468863,249.28931135426000,3.946453840976370,1.7382383461086400,-3.543024889988030,333.8670356415980,FALSE,9.126641286242130,8.776168734524050,0.8055442710508490,264.75564756038300,FALSE,0.12071824544092000,0.10711142341768500,0.05457089403069000,243.00216674939800,-0.0021113883781737000,-0.12069977970754800,4.065908333333330,2.2295625,,,,4.337079166666670,4.395095833333330,-0.09764320599097200
2010-01-01 18:00:00,3.5628926812430900,-1.0925326005365400,-2.8023565114758700,-2.3234072901907300,2.701107702766430,21.298925416604400,5.356224922340770,-3.178381677938730,-4.311268412897510,36.39862646487180,FALSE,4.7739799393573900,-0.05831029818799640,-3.886927949811780,0.8594662521178410,FALSE,0.02764085602009820,-0.015190553275544000,-0.02096506852970060,35.92576892918290,-0.012149130148734300,0.024827717538124900,4.260008333333330,2.1858041666666700,,,,4.3670875,4.3821375,-0.024480733161832100
2010-01-02 00:00:00,8.19365668472711,-6.4715062255758100,-5.009746820481760,-1.386789129196570,8.075445856317500,52.255694296595700,4.389328089242060,-1.2014214530078500,-4.221704343895000,15.885403890392100,FALSE,7.627062996060400,-6.315187793064070,-4.076984329657960,57.15435930912700,FALSE,0.1675625638399140,-0.12534479336501900,-0.11067668090035200,48.556207994398200,-0.03895684543976410,0.16297109251025900,4.041791666666670,2.4806625000000000,,,,4.352758333333330,4.366608333333330,-0.024377866347982900
2010-01-02 06:00:00,7.270212428279510,-5.842063722349340,-4.302720118134340,-1.0585273686557600,7.1927399898867800,53.62809855843050,3.592266110775660,-2.115952126723300,-2.9029506382373100,36.08819672478670,FALSE,6.001038731990840,-4.96550181228418,-1.466164001679320,73.54970745492070,FALSE,0.14391018160704900,-0.105088385313631,-0.09762463098288600,47.10863881113530,-0.03698305795858470,0.13907693480302800,4.5622750000000000,2.7760125,,,,4.313016666666670,4.3781375,-0.05128682047898360
2010-01-02 12:00:00,3.818877787806210,-3.200963878762770,-1.8780928215663200,-0.1600053203611420,3.815524322508740,59.598688813583600,2.7520248989443300,-1.439552214487170,-2.345491519100980,31.53964208786120,FALSE,2.686594802034530,-1.9527275716089400,0.1538092684949890,94.50368227881960,FALSE,0.055724566216083800,-0.040089213907122200,-0.0358397019942002,48.203329781348900,-0.013289028440621500,0.05411680887741870,4.6831875,2.4905875000000000,,,,4.3065625,4.429620833333330,-0.028134791588954900
2010-01-02 18:00:00,0.9801700943278420,-0.6645853570233400,-0.6918101095933880,-0.3053262558488490,0.9314017883298140,43.850148028228200,0.8729921170956700,0.4736350999620590,-0.7333382770557600,327.14313150116200,FALSE,1.3095014056385000,0.4891521310994360,0.0510402406010804,264.04306828865600,FALSE,0.008207104014693630,-0.004073579991404930,-0.004424632898557360,42.63451199348900,-0.0027214176133410800,0.007742767107552520,4.865095833333330,2.2169875,,,,4.335520833333330,4.419629166666670,-0.06556942098836990
2010-01-03 00:00:00,3.43543570612492,3.3419622818832900,-0.14168597886674900,-1.7398767532202000,-2.9622706450494900,272.42766055500500,3.0822221448128100,3.0713635492621000,-0.25849429053381800,274.8108307017560,FALSE,3.2573091846192000,3.067780019649650,-0.764163046162062,283.9873317703660,FALSE,0.008583965303712400,0.006577640977945450,-0.004261318960651130,302.9371490111120,-0.007503135621012960,-0.0041698220810994800,4.666009722222220,2.0273166666666700,,,,4.323065217391300,4.452225000000000,-0.04992217423202170
2010-01-03 06:00:00,6.222618962449180,5.0380018669493600,3.5459380813875600,0.7733651203898000,-6.174373906915300,234.86065403373200,3.6523918115848500,3.593758667037240,0.6518163763106830,259.7197600627800,FALSE,5.789940647688260,5.108617529711070,2.5255149135796500,243.6938811454200,FALSE,0.05458641836846990,0.04599097620646630,0.028623575576147800,238.10295054027600,0.0037099065990428200,-0.05446020256411110,4.8920125,2.1206416666666700,,,,4.305491666666670,4.4484956521739100,-0.11952284579441100
