,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,73.51796098111774,,183.19292822612988,,,3,0,0,0,0,93,1,400.0,2,58.71819683936894,10.980646267724012,100183.41276912666,100583.41276912666,2,0.0,0.0,65,5.440847306724618,41031.0,1,,,,96,56
1,-359.6294562144467,112.72783946213735,-1457.7092330592122,204.73309323431522,0,0,0,0,0,0,0,89,1,600.0,2,58.71819683936894,10.980646267724012,99823.78331291222,100423.78331291222,2,0.0,0.0,65,5.322553886092406,41031.25,1,0.0,0.0,0.0,96,56
2,-159.12090145237744,97.15722938646326,-649.3382399326993,233.06723939409449,-2,-1,0,0,0,0,0,213,1,800.0,2,58.09018147305649,7.431414634331958,99664.66241145984,100464.66241145984,2,0.0,0.0,65,8.234075889688375,41031.5,1,34.764171260996825,36.36870362168385,11.638687098128033,94,55
3,-199.33714371893439,98.31804988974528,-814.6501402780492,265.14521401039383,1,0,0,0,0,0,0,325,1,1000.0,2,57.95511790911151,9.057881293631567,99465.3252677409,100465.3252677409,2,0.0,0.0,65,10.171072362820547,41031.75,1,15.99271059483846,16.157612288633754,2.5030638475359575,95,55
4,-162.0673685251968,109.98768997949512,-656.9181011021395,271.04505025847584,1,1,0,0,0,0,0,509,1,1400.0,1,58.71819683936894,10.980646267724012,99303.2578992157,100703.2578992157,1,0.0,0.0,65,12.728697186576065,41032.0,1,18.502040738192846,23.447781875974187,14.14175094566399,96,56
5,-225.04471029309207,120.15805310979398,-905.3115432499953,301.0002091344172,1,1,0,0,0,0,1,705,2,1800.0,1,59.44205562408277,12.994614537211419,99078.21318892261,100878.21318892261,1,0.0,0.0,65,14.980269348699055,41032.25,1,18.975071099284847,23.402960294404732,13.414904077878848,97,57
6,96.36504042200977,122.37924685912269,384.9790122163758,256.45798161578386,1,1,0,0,0,0,1,537,3,1600.0,1,60.12426334387794,15.101099280301355,99174.57822934462,100774.57822934462,1,0.0,0.0,65,13.074112164146964,41032.5,1,19.445008585020947,23.361791503192833,12.643006226496114,98,58
7,16.280310985981487,123.76996476328381,63.23727418363703,211.54763703871185,2,4,0,0,1,0,0,525,2,1600.0,2,63.103618288379224,20.897773709656292,99190.8585403306,100790.8585403306,2,0.0,0.0,65,12.927207364566026,41032.75,1,48.58107567991937,75.15758562043276,55.214859083653856,100,62
8,11.74338867617189,191.00526553224327,44.9476616509202,305.54825971270884,0,2,0,0,0,0,2,31,1,600.0,2,64.83124844585853,22.38014246730387,99202.60192900678,99802.60192900678,2,0.0,0.0,65,3.141274657157109,41033.0,1,11.683174966283234,34.20994963518818,32.01728477163993,100,64
9,257.9830945395952,161.2432556046438,980.6633724728492,304.4262114970493,0,1,0,0,2,0,0,174,2,1200.0,4,65.68578400010334,23.1985995153718,99460.58502354637,100660.58502354637,4,0.0,0.0,65,7.442171739215616,41033.25,1,6.245254124211024,17.061298749573133,15.836669711569618,100,65
