,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,6,58.198601598257156,-42.662696227125224,,,6,0.0,0.0,361.0,0.0,41415.5,0,,,,66,64
1,,0.0,,202.77541954912977,5,-6,3,0,0,0,3,1,1,0.0,5,56.44970085707227,-30.425782000528358,101423.56247029381,101423.56247029381,5,0.0,0.0,434.0,0.5641895835477563,41415.75,1,125.16887854650781,126.45527512735957,32.411481604111195,71,58
2,-437.8850479375542,0.0,-1784.814988061878,268.0414542881854,2,1,0,0,0,0,0,1,1,0.0,5,58.19860406776277,-28.412663267666975,100985.67742235625,100985.67742235625,5,0.0,0.0,434.0,0.5641895835477563,41416.0,1,19.659760664311424,38.15652791464083,32.41152737019382,73,59
3,-621.8485457062343,,,,2,2,0,3,3,0,0,0,0,,3,60.7330060834164,-26.965717691907287,,,3,0.0,0.0,361.0,0.0,41416.25,0,13.109297172507242,48.901655674977974,46.96877436973787,75,61
