,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,0.0,,131.0378140605303,,,3,0,0,0,0,1,1,0.0,3,53.846001070713754,-58.53585266974324,99490.6159185762,99490.6159185762,3,0.0,0.0,492,0.5641895835477563,41087.75,1,,,,56,69
1,7.1714164036966395,0.0,30.86266681276687,122.26649262256842,1,-2,0,0,0,0,0,1,1,0.0,4,53.60421127591159,-55.30484754720666,99497.78733497989,99497.78733497989,4,0.0,0.0,492,0.5641895835477563,41088.0,1,35.52647713043837,35.70680669976215,4.480966416071619,57,67
2,-174.92517913079064,,,,5,0,0,3,3,0,0,0,0,,3,57.393306478245535,-50.710591269054895,,,3,0.0,0.0,491,0.0,41088.25,0,45.8722159293577,85.14581255766252,70.22136051212865,62,67
